owner,model_key,config_label,ruleset,gen_temperature,gen_top_p,gen_repetition_penalty,gen_max_new_tokens,gen_do_sample,gen_no_repeat_ngram_size,sari,bleu,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,rouge1_f,rouge2_f,rougeL_f,inflesz_pred,inflesz_src,inflesz_delta,bertscore_f1,leader_score,config_signature
hariel,llama3,hariel_llama3_cfg_1,R0,0.2,0.85,1.05,256,NA,NA,41.98432695449868,14.237674601475891,87.00041609302664,88.31434213016652,-1.3139260371398638,0.746943911730235,0.7,0.4720742278512661,0.0,0.3356134470347857,0.509976434001852,0.4832064114655826,0.2885518107534568,0.4050198262080407,73.23908399701847,51.98361474783032,21.25546924918813,0.8027568548917771,57.30087036837028,hariel | llama3 | hariel_llama3_cfg_1 | R0 | temp=0.2 | top_p=0.85 | rep=1.05 | max_new=256 | do_sample=NA | ngram=NA
nancy,mistral,nancy_mistral_cfg_2,R4,0.3,0.9,1.15,400,True,4.0,41.90427518618826,14.4215827909141,76.75575229328584,88.31434213016652,-11.558589836880667,0.9023078921495348,1.2,0.5037805269684994,0.0,0.3859380532533384,0.462206278233446,0.4729949166151829,0.2807208349256412,0.3964661680867898,62.653191438650005,51.98361474783032,10.669576690819682,0.8014830052852631,57.20188532312348,nancy | mistral | nancy_mistral_cfg_2 | R4 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=400 | do_sample=True | ngram=4.0
hariel,mistral,hariel_mistral_cfg_1,R4,0.3,0.9,1.1,256,NA,NA,41.31353922333861,12.45515947670338,81.4272047049035,88.31434213016652,-6.887137425263012,1.0108245400674196,0.6,0.492429658437461,0.0,0.4037841006211319,0.4439681763669705,0.4572707476313436,0.2574432438164785,0.383889082494703,58.801008769698285,51.98361474783032,6.817394021867962,0.7990050077438354,56.74832384375658,hariel | mistral | hariel_mistral_cfg_1 | R4 | temp=0.3 | top_p=0.9 | rep=1.1 | max_new=256 | do_sample=NA | ngram=NA
hariel,llama3,hariel_llama3_cfg_1,R1,0.2,0.85,1.05,256,NA,NA,40.927673091922486,12.875786733069852,87.87603996544522,88.31434213016652,-0.4383021647212967,0.8890537025228177,0.45,0.4428897398144047,0.0,0.4314502575570412,0.5020763735491819,0.4474925459299358,0.2522016445388706,0.3949006877351675,68.92571719500158,51.98361474783032,16.94210244717126,0.7975646793842316,56.45919103052275,hariel | llama3 | hariel_llama3_cfg_1 | R1 | temp=0.2 | top_p=0.85 | rep=1.05 | max_new=256 | do_sample=NA | ngram=NA
hariel,mistral,hariel_mistral_cfg_3,R1,0.2,0.85,1.1,256,NA,NA,40.85274510540845,13.78183846798406,82.27548224423933,88.31434213016652,-6.038859885927184,1.0475263199328544,0.6,0.503822324224303,0.0,0.3590696756432146,0.3930416816220872,0.488880890928662,0.287759901504793,0.4139703458471923,60.77077130381042,51.98361474783032,8.787156555980099,0.7984766453504563,56.45071287726332,hariel | mistral | hariel_mistral_cfg_3 | R1 | temp=0.2 | top_p=0.85 | rep=1.1 | max_new=256 | do_sample=NA | ngram=NA
nancy,mistral,nancy_mistral_cfg_1,R0,0.7,0.9,1.1,512,True,4.0,40.33694875994522,13.659721038347351,80.83989943548713,88.31434213016652,-7.474442694679387,0.9726205638449512,1.0,0.5241465241984318,0.0,0.3532444948403794,0.4036857387868428,0.4924436269540088,0.2918864481964495,0.4082204471260663,64.16456377877185,51.98361474783032,12.18094903094153,0.8020127296447754,56.28267844175815,nancy | mistral | nancy_mistral_cfg_1 | R0 | temp=0.7 | top_p=0.9 | rep=1.1 | max_new=512 | do_sample=True | ngram=4.0
hariel,mistral,hariel_mistral_cfg_3,R0,0.2,0.85,1.1,256,NA,NA,40.55283319229751,12.675897023133343,82.92237928254188,88.31434213016652,-5.391962847624629,0.972868535843864,0.8,0.5398010342563195,0.0,0.3457657868143239,0.4026835772177726,0.4862295327687895,0.2718918156822404,0.4085605139491533,65.322024456294,51.98361474783032,13.338409708463676,0.7972082883119583,56.22003144785684,hariel | mistral | hariel_mistral_cfg_3 | R0 | temp=0.2 | top_p=0.85 | rep=1.1 | max_new=256 | do_sample=NA | ngram=NA
hariel,mistral,hariel_mistral_cfg_2,R1,0.1,0.85,1.1,256,NA,NA,40.56515187811261,12.531407856798497,81.97381483897858,88.31434213016652,-6.340527291187934,1.1106394058521374,0.55,0.4887770591356364,0.0,0.3791245957100541,0.4136665125779844,0.4762389946689573,0.2685034790358974,0.4033774840554112,59.58003711397206,51.98361474783032,7.596422366141729,0.7964147865772248,56.195682589956554,hariel | mistral | hariel_mistral_cfg_2 | R1 | temp=0.1 | top_p=0.85 | rep=1.1 | max_new=256 | do_sample=NA | ngram=NA
hariel,llama3,hariel_llama3_cfg_3,R4,0.3,0.9,1.15,256,NA,NA,40.65985947688097,11.302198375651864,86.54939099303292,88.31434213016652,-1.7649511371335982,0.8437990085719969,0.8,0.430649415881435,0.0,0.4895532239016131,0.5765589918522015,0.4270360870497706,0.2267528836238202,0.3652411039737934,72.66837253741338,51.98361474783032,20.684757789583045,0.7924735367298126,56.09485715532108,hariel | llama3 | hariel_llama3_cfg_3 | R4 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=256 | do_sample=NA | ngram=NA
hariel,llama3,hariel_llama3_cfg_1,R3,0.2,0.85,1.05,256,NA,NA,39.83059613597116,11.783828480559496,86.96058280210083,88.31434213016652,-1.3537593280656868,0.769153685965799,0.85,0.4405593121447627,0.0,0.3897054910823451,0.5429739587035837,0.4615684424227072,0.2422960538267606,0.3922028559821803,75.81481484168059,51.98361474783032,23.83120009385026,0.8033660233020783,56.032998613665825,hariel | llama3 | hariel_llama3_cfg_1 | R3 | temp=0.2 | top_p=0.85 | rep=1.05 | max_new=256 | do_sample=NA | ngram=NA
hariel,mistral,hariel_mistral_cfg_3,R4,0.2,0.85,1.1,256,NA,NA,41.107320936179576,11.86998219781167,82.29603519991798,88.31434213016652,-6.018306930248535,1.1484208226116377,1.75,0.4068318468524774,0.0,0.4519891790210197,0.453794933126565,0.4308088563414564,0.249273998604067,0.3583849399142649,67.62508344193239,51.98361474783032,15.64146869410206,0.7830687314271927,55.98714181879545,hariel | mistral | hariel_mistral_cfg_3 | R4 | temp=0.2 | top_p=0.85 | rep=1.1 | max_new=256 | do_sample=NA | ngram=NA
